Movie Name,Year,Duration,IMDB Rating
1. The Shawshank Redemption,Unknown,Unknown,9.3
2. The Godfather,Unknown,Unknown,9.2
3. The Dark Knight,Unknown,Unknown,9.0
4. The Godfather Part II,Unknown,Unknown,9.0
5. 12 Angry Men,Unknown,Unknown,9.0
6. Schindler's List,Unknown,Unknown,9.0
7. The Lord of the Rings: The Return of the King,Unknown,Unknown,9.0
8. Pulp Fiction,Unknown,Unknown,8.9
9. The Lord of the Rings: The Fellowship of the Ring,Unknown,Unknown,8.9
"10. The Good, the Bad and the Ugly",Unknown,Unknown,8.8
11. Forrest Gump,Unknown,Unknown,8.8
12. The Lord of the Rings: The Two Towers,Unknown,Unknown,8.8
13. Fight Club,Unknown,Unknown,8.8
14. Inception,Unknown,Unknown,8.8
15. Star Wars: Episode V - The Empire Strikes Back,Unknown,Unknown,8.7
16. The Matrix,Unknown,Unknown,8.7
17. Goodfellas,Unknown,Unknown,8.7
18. Dune: Part Two,Unknown,Unknown,8.7
19. One Flew Over the Cuckoo's Nest,Unknown,Unknown,8.7
20. Se7en,Unknown,Unknown,8.6
21. Interstellar,Unknown,Unknown,8.7
22. It's a Wonderful Life,Unknown,Unknown,8.6
23. Seven Samurai,Unknown,Unknown,8.6
24. The Silence of the Lambs,Unknown,Unknown,8.6
25. Saving Private Ryan,Unknown,Unknown,8.6
26. City of God,Unknown,Unknown,8.6
27. Life Is Beautiful,Unknown,Unknown,8.6
28. The Green Mile,Unknown,Unknown,8.6
29. Terminator 2: Judgment Day,Unknown,Unknown,8.6
30. Star Wars: Episode IV - A New Hope,Unknown,Unknown,8.6
31. Back to the Future,Unknown,Unknown,8.5
32. Spirited Away,Unknown,Unknown,8.6
33. The Pianist,Unknown,Unknown,8.5
34. Parasite,Unknown,Unknown,8.5
35. Psycho,Unknown,Unknown,8.5
36. Spider-Man: Across the Spider-Verse,Unknown,Unknown,8.6
37. Gladiator,Unknown,Unknown,8.5
38. The Lion King,Unknown,Unknown,8.5
39. Léon: The Professional,Unknown,Unknown,8.5
40. The Departed,Unknown,Unknown,8.5
41. American History X,Unknown,Unknown,8.5
42. Whiplash,Unknown,Unknown,8.5
43. The Prestige,Unknown,Unknown,8.5
44. Grave of the Fireflies,Unknown,Unknown,8.5
45. Harakiri,Unknown,Unknown,8.6
46. The Usual Suspects,Unknown,Unknown,8.5
47. Casablanca,Unknown,Unknown,8.5
48. The Intouchables,Unknown,Unknown,8.5
49. Cinema Paradiso,Unknown,Unknown,8.5
50. Modern Times,Unknown,Unknown,8.5
51. Rear Window,Unknown,Unknown,8.5
52. Once Upon a Time in the West,Unknown,Unknown,8.5
53. Alien,Unknown,Unknown,8.5
54. City Lights,Unknown,Unknown,8.5
55. Apocalypse Now,Unknown,Unknown,8.4
56. Django Unchained,Unknown,Unknown,8.5
57. Memento,Unknown,Unknown,8.4
58. 12th Fail,Unknown,Unknown,9.0
59. WALL·E,Unknown,Unknown,8.4
60. Raiders of the Lost Ark,Unknown,Unknown,8.4
61. The Lives of Others,Unknown,Unknown,8.4
62. Sunset Blvd.,Unknown,Unknown,8.4
63. Paths of Glory,Unknown,Unknown,8.4
64. Avengers: Infinity War,Unknown,Unknown,8.4
65. Spider-Man: Into the Spider-Verse,Unknown,Unknown,8.4
66. Witness for the Prosecution,Unknown,Unknown,8.4
67. The Shining,Unknown,Unknown,8.4
68. The Great Dictator,Unknown,Unknown,8.4
69. Aliens,Unknown,Unknown,8.4
70. Inglourious Basterds,Unknown,Unknown,8.4
71. The Dark Knight Rises,Unknown,Unknown,8.4
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Unknown,Unknown,8.4
73. American Beauty,Unknown,Unknown,8.3
74. Oldboy,Unknown,Unknown,8.3
75. Coco,Unknown,Unknown,8.4
76. Amadeus,Unknown,Unknown,8.4
77. Toy Story,Unknown,Unknown,8.3
78. Das Boot,Unknown,Unknown,8.4
79. Avengers: Endgame,Unknown,Unknown,8.4
80. Braveheart,Unknown,Unknown,8.3
81. Joker,Unknown,Unknown,8.4
82. Princess Mononoke,Unknown,Unknown,8.3
83. Good Will Hunting,Unknown,Unknown,8.3
84. Your Name.,Unknown,Unknown,8.4
85. Once Upon a Time in America,Unknown,Unknown,8.3
86. High and Low,Unknown,Unknown,8.4
87. 3 Idiots,Unknown,Unknown,8.4
88. Singin' in the Rain,Unknown,Unknown,8.3
89. Capernaum,Unknown,Unknown,8.4
90. Requiem for a Dream,Unknown,Unknown,8.3
91. Come and See,Unknown,Unknown,8.4
92. Toy Story 3,Unknown,Unknown,8.3
93. Oppenheimer,Unknown,Unknown,8.3
94. Star Wars: Episode VI - Return of the Jedi,Unknown,Unknown,8.3
95. Eternal Sunshine of the Spotless Mind,Unknown,Unknown,8.3
96. The Hunt,Unknown,Unknown,8.3
97. 2001: A Space Odyssey,Unknown,Unknown,8.3
98. Reservoir Dogs,Unknown,Unknown,8.3
99. Ikiru,Unknown,Unknown,8.3
100. Lawrence of Arabia,Unknown,Unknown,8.3
101. The Apartment,Unknown,Unknown,8.3
102. North by Northwest,Unknown,Unknown,8.3
103. Citizen Kane,Unknown,Unknown,8.3
104. Incendies,Unknown,Unknown,8.3
105. Vertigo,Unknown,Unknown,8.3
106. M,Unknown,Unknown,8.3
107. Double Indemnity,Unknown,Unknown,8.3
108. Scarface,Unknown,Unknown,8.3
109. Amélie,Unknown,Unknown,8.3
110. Full Metal Jacket,Unknown,Unknown,8.3
111. Heat,Unknown,Unknown,8.3
112. A Clockwork Orange,Unknown,Unknown,8.3
113. Up,Unknown,Unknown,8.3
114. To Kill a Mockingbird,Unknown,Unknown,8.3
115. The Sting,Unknown,Unknown,8.3
116. A Separation,Unknown,Unknown,8.3
117. Indiana Jones and the Last Crusade,Unknown,Unknown,8.2
118. Die Hard,Unknown,Unknown,8.2
119. Metropolis,Unknown,Unknown,8.3
120. Like Stars on Earth,Unknown,Unknown,8.3
121. Snatch,Unknown,Unknown,8.2
